Time,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Title,Brief Description,Documentation full Link,Notes,Comments
"  08:00 GMT
03:00 EST",a,a,a,a,a,a,a,Production Canada (CSCPRC) Backups Start,"CSCPRC backups will kick off. Emails will be received to monitor backups but ensure that you are logged into CSCPRC and keeping an eye on OPCOMS and job failures. 
See Documentation",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3D770e458edbe4bb80d3a5d602ca961974%26sysparm_rank%3D1%26sysparm_tsqueryId%3D9f34fa9cdb5a734040b62c23ca961923,,
"  08:00 GMT
03:00 EST",a,a,a,a,a,a,a,Receive SSL IPI and SSL,Ops will receive the IPI and SSL Processes email,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3Dc7cb914edb28bb80d3a5d602ca96196d%26sysparm_rank%3D1%26sysparm_tsqueryId%3D8ba436dcdb5a734040b62c23ca961995,,
"  08:30 GMT
03:30 EST",,a,a,a,a,a,,Confirm All URRs Are Complete,At this stage there should be no URRs running. You can confirm this using the command in the comments,,,"JD J:RS_UR

As jobs do no retain on completion in NA, if the output is blank then they are all complete"
"  08:45 GMT
03:45 EST",,a,a,a,a,a,,Release Potential Incomplete URR Job If All URRs Are done,"If all URRs are complete, you can release the POTENTIAL_INCOMPLETE_URRS Job on the HOUSEKEEPING queue. If there are any outstanding URRs the job must be held before it's due to release at 04:30 EST",,,
09:00 - 10:00 GMT 04:00 - 05:00 EST,,a,a,a,a,a,,Check POTENTIAL_INCOMPLETE_URR's report that will arrive as an email into the NA Inbox ,"The email will detail any outstanding URR's that need investigation. If there are any coming back on the report, then the SUBMIT_JOBS_AFTER_ALL_URRS will not be triggered. Follow the linked documentation to resolve.",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3D6c6590b3db553bc41cd6d776489619cb%26sysparm_rank%3D1%26sysparm_tsqueryId%3D59e47210db9a734040b62c23ca9619a2,,
09:00 GMT 04:00 EST,a,a,a,a,a,a,a,Check for holding jobs,Check for holding jobs on production systems.,,,"JD S:HOLDING 

All jobs on SCRIP$CANCELLED can be ignored
Any holding jobs should be sent to !NA CT Scrip Support"
09:00 GMT 04:00 EST,a,a,a,a,a,a,a,Semi-Annual Optimise Jobs Parallel & Serial Check,Check if Semi-Annual Optimise Jobs Parallel & Serial need to be scheduled this week and consider the simulation & heads up email that need to be sent to all parties involved,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3Dca43d62edb293bc81cd6d776489619cb%26sysparm_rank%3D1%26sysparm_tsqueryId%3D7db53a50db9a734040b62c23ca961927,,"Hyperlink only links to Parallel Schedule, also remember to check Serial Schedule."
09:30 GMT 04:30 EST,a,a,a,a,a,,,Send the Linux UAT/CSATSC aborted URR Report.,,,,Send to Brenda Bicknell and Krishna Kumbhar 
" 10:00 GMT
05:00 EST",a,a,a,a,a,a,,Send Escalated Job Report To Scrip Support,See Documentation,\\Brscfp1c\wrkgroup\CS Operations\NA\Templates\GTS Operations - Aborted Job Report.msg,,"!NA CT Scrip Support Canton; #CA CS MON PNI's to Recon; #GL SO NA Operations 

Template attached to documentation tab"
"  10:00 GMT
05:00 EST",,,,,,,a,Monitor QUICKP Jobs,"QUICKP jobs begin to run on Production, monitor these to completion and add MSGSETUP's to companies where necessary to get the jobs running.
See Documentation",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3D797f4622dbe53bc81cd6d7764896196b%26sysparm_rank%3D1%26sysparm_tsqueryId%3D20e63ed0db9a734040b62c23ca9619d0,,
