Time,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Title,Brief Description,Documentation full Link,Notes,Comments
07:00 19:00,,,,,,a,,Downtime Checks,We will be instructed by VMS Support to shutdown specific queues - When we have confirmation that maintenance is completed perform VDI Connection Test & SCRIP Support checks.,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010307,Downtime Only,
07:00,a,a,a,a,a,,,ORMS Check,Check that the ORMS processes are running as we would expect.,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010402,See documentation.,
07:00,a,a,a,a,a,a,a,Monthly Checksheet,Check the Monthly Checksheet. Ensure any tasks to be completed on this shift are allocated.,\\Brscfp1c\wrkgroup\CS Operations\EMEA\Checksheets\Monthly Checksheets,,
07:00,a,a,a,a,a,a,a,NICE Call Recording Check,Check calls are being recorded within NICE and ensure calls are paused when card transactions take place.,https://computershare.service-now.com/kb_view.do?sys_kb_id=884d8deadb353b441cd6d776489619b9&sysparm_rank=2&sysparm_tsqueryId=ba4e02d01b9d8050eede40c8cc4bcbaa,Remember to log back into your extension.,https://csevniceengage1.emea.cshare.net/NiceApplications/Desktop/XbapApplications/NiceDesktop.xbap
07:00,a,a,a,a,a,a,,ODR Reporting Suites Check,"Log on to the Reporting Suites page and ensure the service is active. Resubmit any failed jobs as necessary, any in error with Status ""Failed Skeys"" tick the box next to the job and click ""Approve Skey Errors"" at the top of the screen.",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3D47d612561b9cc45ceede40c8cc4bcb87%26sysparm_rank%3D3%26sysparm_tsqueryId%3D25e4c00e1bbc0454eede40c8cc4bcbea,Please follow documentation on how to resubmit jobs.,http://csevgplansetlp2/Config/JobQueue
07:30,a,a,a,a,a,a,,Operations VMS & Server Report,Send the VMS and Server report collated during the nightly batch and backups at 7:30. Ensure that all fields have been filled out correctly. For the subject use ?CTS Operations ? VMS/Server Shift Report ?previous batch Date??.,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsys_kb_id%3D933c016edbf13b441cd6d776489619e5%26sysparm_rank%3D1%26sysparm_tsqueryId%3D3f40cb54dbda734040b62c23ca96197b,On Monday use the subject  ?CTS Operations ? VMS/Server Weekend Shift Report ?Saturday date ? Sunday date?,"
Import the raw data from the URR BATCH TIMING REPORT we receive at 7:15am into the URR STATS spreadsheet before sending report.

W:\CS Operations\EMEA\Documents\URR Stats Monitor

!UK CTS ALL VMS & Server Shift Reporting "
07:30 ,a,a,a,a,a,,,Failed/Outstanding/Completed with Warnings Backup Report - Networker & VMS,Create a backup report of all failed/outstanding/Completed with warning backups from the night before and list them in 1 SD to Open Systems Support along with the comment section which includes total number of client failures on each backup. You can use the report tab macro on the backup checksheet and attach this to SD saved on this tab.,https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010267,,"This should be performed by whoever is on backup checksheet at this time, if you are not working the backup sheet then you must ensure that it has been completed with SD numbers placed in the backup checksheet before signing off."
07:30,,,,,,a,,Create OPS VMS weekend Report,Create the weekend Operations VMS & Server Report,\\Brscfp1c\wrkgroup\CS Operations\EMEA\Templates\Shift Reports,,
07:30 15:30,,a,a,a,a,a,,Lloyds - Bank file download,"1 file per day, 6 files every Saturday to download
Write in the comment box how many files have been downloaded",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010064,Tue to Sat,
07:30 15:30,,a,a,a,a,a,,Barclays - Bank file Date Check,"3 file to download
Write in the comment box how many files have been downloaded",https://computershare.service-now.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0010064,Ensure dates are correct - Tue to Sat,
